"Date","Time","Latitude","Longitude","Altitude","Speed","Course","Type","Distance","Essential"
"2016-11-28","08:35:07",-16.393414,-71.501244,2522.64,576,317,-2,0,1
"2016-11-28","08:43:22",-16.393557,-71.50132,2428.14,1728,171,0,17.85,1
"2016-11-28","08:52:48",-16.39385,-71.499931,2496,2988,176,0,151.71,1
"2016-11-28","08:59:01",-16.393717,-71.500557,2499.39,828,201,0,68.4,1
"2016-11-28","09:05:22",-16.394033,-71.50116,2461.76,1836,288,0,73.3,1
"2016-11-28","09:08:31",-16.394615,-71.502457,2513.65,684,96,0,152.74,1
"2016-11-28","09:11:54",-16.393364,-71.503098,2462.15,9756,326,0,155,1
"2016-11-28","09:16:52",-16.392439,-71.503174,2461.29,1152,253,-4,103.17,1
"2016-11-28","09:18:19",-16.392635,-71.50312,2456.83,3816,148,-2,0,1
"2016-11-28","09:18:55",-16.392694,-71.501259,1153.94,6120,334,-1,198.63,1
"2016-11-28","09:22:22",-16.392748,-71.501335,1158.76,6660,126,0,10.09,1
"2016-11-28","09:25:53",-16.393023,-71.501183,1163.72,2376,154,0,34.61,1
"2016-11-28","09:32:01",-16.392849,-71.501656,1430.49,2268,187,0,54.04,1
"2016-11-28","09:43:08",-16.392225,-71.503197,2351.8,2520,357,0,178.43,1
"2016-11-28","09:49:29",-16.392607,-71.503059,2465.55,1440,217,-1,44.96,1
"2016-11-28","09:50:26",-16.392729,-71.503113,2467.01,0,255,-1,14.74,1
"2016-11-28","09:50:39",-16.39263,-71.50312,2451.67,936,270,-1,11.03,1
"2016-11-28","09:51:04",-16.392626,-71.503105,2473.82,3348,325,-1,1.66,1
"2016-11-28","09:52:00",-16.392969,-71.502869,2513.45,648,226,-1,45.7,1
"2016-11-28","10:15:46",-16.39257,-71.503204,2459.42,1476,165,0,56.97,1
"2016-11-28","10:37:37",-16.392609,-71.503159,2461.48,1188,14,0,6.47,1
"2016-11-28","10:53:23",-16.392525,-71.503242,2470.98,1440,272,0,12.87,1
"2016-11-28","10:56:30",-16.39263,-71.503235,2463.05,5148,257,0,11.7,1
"2016-11-28","10:59:36",-16.392588,-71.503174,2465.55,2304,290,0,8.01,1
"2016-11-28","11:02:42",-16.392584,-71.503174,2453.93,468,162,0,0.44,1
"2016-11-28","11:05:48",-16.392618,-71.503304,2447.05,0,156,0,14.37,1
"2016-11-28","11:08:56",-16.39259,-71.503159,2459.96,1044,275,0,15.78,1
"2016-11-28","11:12:03",-16.392567,-71.503204,2445.85,1008,258,0,5.44,1
"2016-11-28","11:15:14",-16.392639,-71.503105,2484.06,900,224,0,13.25,1
"2016-11-28","11:18:20",-16.392534,-71.503334,2428.33,1332,154,0,27.08,1
"2016-11-28","11:21:27",-16.392544,-71.503334,2430.38,0,273,0,1.11,1
"2016-11-28","11:24:39",-16.392591,-71.503227,2469.67,1908,153,0,12.55,1
"2016-11-28","11:28:06",-16.39262,-71.503204,2452.7,648,231,0,4.05,1
"2016-11-28","11:31:14",-16.392668,-71.503311,2430.67,0,259,0,12.6,1
"2016-11-28","11:34:19",-16.392611,-71.503197,2459.45,1116,205,0,13.71,1
"2016-11-28","11:37:25",-16.392616,-71.503181,2463.74,1332,91,0,1.8,1
"2016-11-28","11:40:39",-16.392704,-71.503067,2521.68,432,0,0,15.61,1
"2016-11-28","11:43:45",-16.392574,-71.503197,2461.85,0,138,0,20.03,1
"2016-11-28","11:46:56",-16.392822,-71.502731,2589.39,0,61,0,56.85,1
"2016-11-28","11:50:33",-16.392576,-71.503105,2481.31,1008,237,0,48.37,1
"2016-11-28","11:53:50",-16.392588,-71.503319,2417.71,648,329,-1,22.87,1
"2016-11-28","11:57:02",-16.39253,-71.503342,2420.16,0,209,0,6.9,1
"2016-11-28","12:00:27",-16.39258,-71.503174,2467.92,612,226,0,18.76,1
"2016-11-28","12:03:52",-16.392593,-71.503174,2466.82,288,341,0,1.45,1
"2016-11-28","12:06:57",-16.392588,-71.502968,2500.83,1404,245,0,21.98,1
"2016-11-28","12:10:03",-16.392668,-71.503006,2522.03,0,303,0,9.78,1
"2016-11-28","12:13:10",-16.392584,-71.503067,2467.38,0,57,0,11.38,1
"2016-11-28","12:16:21",-16.39254,-71.503105,2458.32,864,221,0,6.35,1
"2016-11-28","12:19:33",-16.392595,-71.503181,2464.96,972,267,0,10.16,1
"2016-11-28","12:22:42",-16.39209,-71.502235,2324.67,1980,209,0,115.49,1
"2016-11-28","12:25:54",-16.392664,-71.503159,2448.9,432,237,0,117.43,1
"2016-11-28","12:29:14",-16.392586,-71.503273,2485.74,576,300,0,14.94,1
"2016-11-28","12:32:20",-16.392546,-71.503151,2450.51,3708,268,0,13.75,1
"2016-11-28","12:35:33",-16.392576,-71.503151,2474.73,4068,174,0,3.34,1
"2016-11-28","12:38:45",-16.392605,-71.50322,2474.2,828,193,0,8.04,1
"2016-11-28","12:41:58",-16.39254,-71.50309,2473.26,1548,0,0,15.64,1
"2016-11-28","12:45:23",-16.39253,-71.503166,2462.08,1944,224,0,8.18,1
"2016-11-28","12:48:44",-16.392492,-71.503128,2496.71,936,262,0,5.86,1
"2016-11-28","12:51:56",-16.392569,-71.503197,2481.85,828,3,0,11.29,1
"2016-11-28","12:55:04",-16.392637,-71.503181,2459.05,9648,216,0,7.75,1
"2016-11-28","12:58:21",-16.392538,-71.503227,2453.36,648,307,0,12.05,1
"2016-11-28","13:02:11",-16.392681,-71.503258,2490.7,900,123,0,16.24,1
"2016-11-28","13:06:33",-16.39246,-71.503067,2485.55,7416,243,0,31.92,1
"2016-11-28","13:09:55",-16.392576,-71.503181,2458.82,1656,101,0,17.73,1
"2016-11-28","13:13:49",-16.392559,-71.503082,2473.95,900,199,0,10.73,1
"2016-11-28","13:17:20",-16.392569,-71.503059,2467.1,4140,181,0,2.69,1
"2016-11-28","13:21:29",-16.392525,-71.503174,2453.01,72,10,0,13.21,1
"2016-11-28","13:26:50",-16.392719,-71.503197,2473.37,288,98,0,21.71,1
"2016-11-28","13:32:40",-16.392933,-71.503418,2548.17,5148,203,0,33.5,1
"2016-11-28","13:38:25",-16.392675,-71.503204,2489.28,1548,5,0,36.66,1
"2016-11-28","13:42:51",-16.392603,-71.503174,2484.22,288,271,0,8.62,1
"2016-11-28","13:46:07",-16.392723,-71.50322,2458.59,828,172,0,14.22,1
"2016-11-28","13:49:35",-16.392658,-71.503296,2444.06,1368,212,0,10.86,1
"2016-11-28","13:53:09",-16.392778,-71.503159,2449.57,1152,200,0,19.79,1
"2016-11-28","13:57:13",-16.392471,-71.503189,2433.97,936,240,0,34.29,1
"2016-11-28","14:02:44",-16.392576,-71.503258,2432.78,2268,312,0,13.8,1
"2016-11-28","14:08:42",-16.392662,-71.503181,2435.86,1476,95,0,12.61,1
"2016-11-28","14:20:12",-16.392662,-71.503181,2435.86,1476,95,0,0,1
"2016-11-28","14:24:01",-16.392527,-71.503113,2487.37,1152,257,0,16.67,1
"2016-11-28","14:29:55",-16.392527,-71.503113,2487.37,1152,257,0,0,1
"2016-11-28","14:33:07",-16.392593,-71.503204,2451.37,3528,81,0,12.17,1
"2016-11-28","14:36:24",-16.39267,-71.503677,2434.41,4608,248,0,51.18,1
"2016-11-28","14:40:15",-16.392597,-71.503174,2461.62,0,220,0,54.27,1
"2016-11-28","14:43:45",-16.392595,-71.503189,2453.25,1188,84,0,1.62,1
"2016-11-28","14:47:35",-16.392614,-71.503265,2462.83,2304,87,0,8.38,1
"2016-11-28","14:51:55",-16.392588,-71.503166,2441.12,1872,235,0,10.95,1
"2016-11-28","15:10:43",-16.392588,-71.503166,2441.12,1872,235,0,0,1
"2016-11-28","15:14:14",-16.392578,-71.503113,2469.66,16128,249,0,5.76,1
"2016-11-28","15:15:09",-16.392559,-71.503136,2467.86,756,227,-4,3.24,1
"2016-11-28","15:42:01",-16.392708,-71.503181,2438.52,1008,151,-2,0,1
"2016-11-28","15:45:32",-16.392572,-71.503159,2476.52,360,299,0,15.3,1
"2016-11-28","15:48:38",-16.392584,-71.503204,2454.63,936,318,0,4.98,1
"2016-11-28","15:51:41",-16.392574,-71.503258,2451,1260,232,0,5.87,1
"2016-11-28","15:55:13",-16.39267,-71.503128,2467.06,756,109,0,17.5,1
"2016-11-28","15:57:13",-16.392799,-71.503342,2406.92,396,316,-1,26.96,1
"2016-11-28","16:00:50",-16.392706,-71.503197,2460.35,4176,236,0,18.61,1
"2016-11-28","16:04:01",-16.392672,-71.503075,2489.93,1440,234,0,13.55,1
"2016-11-28","16:07:06",-16.392607,-71.503189,2455.45,1008,123,0,14.15,1
"2016-11-28","16:10:11",-16.392809,-71.503433,2390.78,0,269,0,34.38,1
"2016-11-28","16:11:17",-16.392704,-71.503128,2479.43,3204,341,-1,34.57,1
"2016-11-28","16:14:24",-16.392626,-71.503082,2477.35,1584,281,0,9.97,1
"2016-11-28","16:15:16",-16.392723,-71.503159,2468.52,2196,158,-1,13.56,1
"2016-11-28","16:18:22",-16.392567,-71.50312,2463.56,1980,295,0,17.84,1
"2016-11-28","16:21:27",-16.392859,-71.503098,2460.43,2808,150,-4,32.55,1
"2016-11-28","16:35:49",-16.392673,-71.503433,2440.76,4536,270,-2,0,1
"2016-11-28","16:35:54",-16.392672,-71.503105,2466.76,0,270,0,34.99,1
"2016-11-28","16:39:27",-16.392956,-71.503159,2420.12,11160,285,0,32.1,1
"2016-11-28","16:40:27",-16.392597,-71.503441,2393.07,6804,271,0,49.98,1
"2016-11-28","16:43:56",-16.392563,-71.503281,2420.87,900,290,-4,17.48,1
"2016-11-28","17:00:29",-16.392685,-71.503227,2387.24,0,0,-2,0,1
"2016-11-28","17:00:34",-16.392595,-71.503143,2457.49,0,0,0,13.43,1
"2016-11-28","17:03:40",-16.393862,-71.502823,2514.08,972,191,0,144.96,1
"2016-11-28","17:06:54",-16.393957,-71.502731,2504.33,1044,143,0,14.42,1
"2016-11-28","17:10:19",-16.393726,-71.503143,2428.69,1296,157,0,50.91,1
"2016-11-28","17:13:40",-16.393753,-71.502838,2448.13,1332,126,0,32.67,1
"2016-11-28","17:16:45",-16.3934,-71.503014,2461.05,576,120,0,43.51,1
"2016-11-28","17:19:48",-16.392586,-71.503212,2458.44,864,327,0,92.94,1
"2016-11-28","17:19:58",-16.392662,-71.50312,2460.75,1044,289,-1,12.95,1
"2016-11-28","17:23:05",-16.392639,-71.503174,2436.18,684,0,0,6.3,1
"2016-11-28","17:26:17",-16.392567,-71.503098,2468.9,864,220,0,11.39,1
"2016-11-28","17:29:24",-16.392706,-71.50309,2461.82,936,243,0,15.48,1
"2016-11-28","17:32:28",-16.392588,-71.503159,2429.44,612,60,0,15.04,1
"2016-11-28","17:34:15",-16.392611,-71.503113,2462.13,324,181,-1,5.53,1
"2016-11-28","17:37:18",-16.392588,-71.503082,2449.14,144,321,0,4.18,1
"2016-11-28","17:40:21",-16.392612,-71.50312,2466.58,1368,318,0,4.85,1
"2016-11-28","17:43:24",-16.392622,-71.502945,2486.89,432,172,0,18.7,1
"2016-11-28","17:46:32",-16.392605,-71.503197,2451.73,3924,346,0,26.95,1
"2016-11-28","17:49:41",-16.392641,-71.503075,2460.36,7056,356,0,13.62,1
"2016-11-28","17:50:51",-16.392612,-71.503067,2470.41,756,226,-1,3.34,1
"2016-11-28","17:54:09",-16.392502,-71.503136,2504.89,936,87,0,14.28,1
"2016-11-28","17:57:19",-16.392555,-71.503143,2451.05,324,137,0,5.94,1
"2016-11-28","18:00:25",-16.392237,-71.502785,2479.15,900,40,0,52.05,1
"2016-11-28","18:03:32",-16.39246,-71.503105,2459.08,180,225,0,42.19,1
"2016-11-28","18:03:55",-16.392441,-71.503075,2480.59,2448,47,-1,3.83,1
"2016-11-28","18:07:02",-16.39233,-71.503212,2460.3,504,176,0,19.13,1
"2016-11-28","18:08:42",-16.392397,-71.503143,2443.47,360,261,-1,10.47,1
"2016-11-28","18:09:06",-16.392487,-71.503136,2461.18,2808,163,-1,10.04,1
"2016-11-28","18:12:32",-16.392645,-71.503014,2544.01,1908,225,0,21.86,1
"2016-11-28","18:16:01",-16.392673,-71.503571,2565.1,2052,39,0,59.5,1
"2016-11-28","18:19:39",-16.39267,-71.503174,2481.66,1008,87,0,42.35,1
"2016-11-28","18:22:46",-16.392635,-71.503006,2473.95,0,312,0,18.34,1
"2016-11-28","18:26:04",-16.392719,-71.503227,2480.43,0,114,-1,25.36,1
"2016-11-28","18:29:10",-16.392605,-71.503052,2473.37,0,285,0,22.57,1
"2016-11-28","18:32:16",-16.392496,-71.503143,2466.13,2844,109,0,15.53,1
"2016-11-28","18:35:18",-16.392815,-71.503029,2483.95,0,111,0,37.5,1
"2016-11-28","18:38:21",-16.392479,-71.503143,2454.91,12744,6,0,39.29,1
"2016-11-28","18:38:55",-16.392586,-71.503036,2468.18,0,71,0,16.49,1
"2016-11-28","18:39:30",-16.392628,-71.503136,2458.06,900,273,-1,11.64,1
"2016-11-28","18:42:32",-16.392614,-71.503265,2454.05,4320,273,0,13.85,1
"2016-11-28","18:45:37",-16.392654,-71.503113,2464.93,3132,73,0,16.81,1
"2016-11-28","18:48:48",-16.392628,-71.503212,2457.1,936,220,0,10.95,1
"2016-11-28","18:51:49",-16.392574,-71.503288,2454.16,396,97,0,10.09,1
"2016-11-28","18:54:53",-16.392817,-71.503082,2498.86,108,0,0,34.83,1
"2016-11-28","18:58:15",-16.392555,-71.503181,2453.69,828,123,0,30.99,1
"2016-11-28","19:01:38",-16.392422,-71.503189,2451.35,864,349,0,14.81,1
"2016-11-28","19:05:12",-16.392618,-71.503235,2447.6,1188,165,0,22.34,1
"2016-11-28","19:08:48",-16.392687,-71.503204,2455.23,1296,69,0,8.35,1
"2016-11-28","19:09:15",-16.392664,-71.503136,2456.15,828,352,-4,7.69,1
"2016-11-29","04:14:04",-16.397943,-71.515511,2415.83,540,290,-2,0,1
"2016-11-29","04:17:56",-16.39813,-71.516022,2484.51,2736,78,0,58.34,1
"2016-11-29","04:21:57",-16.397688,-71.515083,2353.73,972,22,0,111.57,1
"2016-11-29","04:25:02",-16.397858,-71.515305,2392.05,1224,22,0,30.3,1
"2016-11-29","04:28:13",-16.397911,-71.51548,2425.92,1800,195,0,19.58,1
"2016-11-29","04:31:19",-16.397741,-71.51532,2390.28,0,83,0,25.47,1
"2016-11-29","04:34:50",-16.3978,-71.515228,2379.69,1404,117,0,11.8,1
"2016-11-29","04:37:56",-16.397961,-71.515488,2416.11,0,0,0,33.01,1
"2016-11-29","04:41:25",-16.397835,-71.515572,2422.11,1728,94,0,16.63,1
"2016-11-29","04:44:46",-16.397825,-71.515495,2408.98,0,351,0,8.29,1
"2016-11-29","04:48:14",-16.397848,-71.51545,2412.71,1260,112,0,5.44,1
"2016-11-29","04:51:29",-16.3983,-71.516068,2529.84,1188,0,0,82.9,1
"2016-11-29","04:54:43",-16.397917,-71.515457,2420.88,792,152,0,77.86,1
"2016-11-29","04:58:04",-16.397884,-71.515434,2416.95,1548,99,0,4.41,1
"2016-11-29","05:01:38",-16.397827,-71.515419,2426.48,1620,47,0,6.54,1
"2016-11-29","05:04:43",-16.398027,-71.515503,2488.08,0,224,0,23.98,1
"2016-11-29","05:07:49",-16.397766,-71.515396,2411.26,1620,207,0,31.19,1
"2016-11-29","05:10:53",-16.39789,-71.515465,2417.44,0,0,0,15.63,1
"2016-11-29","05:13:57",-16.397871,-71.515419,2408.58,0,0,0,5.34,1
"2016-11-29","05:17:00",-16.397846,-71.515388,2414.32,0,0,0,4.32,1
"2016-11-29","05:20:03",-16.397802,-71.515388,2408.14,0,0,0,4.89,1
"2016-11-29","05:23:06",-16.397888,-71.515442,2407.9,0,0,0,11.16,1
"2016-11-29","05:26:16",-16.397919,-71.515434,2421.48,720,192,0,3.55,1
"2016-11-29","05:29:20",-16.397745,-71.515762,2395.07,1008,317,0,39.98,1
"2016-11-29","05:30:55",-16.397774,-71.515831,2422.96,3672,331,-1,8.04,1
"2016-11-29","05:31:31",-16.397739,-71.515816,2414.53,4212,21,-1,4.21,1
"2016-11-29","05:32:38",-16.397751,-71.515823,2428.34,0,195,-1,1.53,1
"2016-11-29","05:35:42",-16.39784,-71.515739,2409.84,1836,272,0,13.35,1
"2016-11-29","05:38:34",-16.398201,-71.516129,2422.27,0,230,-1,57.81,1
"2016-11-29","05:41:40",-16.397951,-71.516014,2419.88,792,283,-1,30.39,1
"2016-11-29","05:42:30",-16.397888,-71.515961,2426.43,0,0,-1,9,1
"2016-11-29","05:43:24",-16.397928,-71.515991,2422.26,612,357,-1,5.48,1
"2016-11-29","05:43:57",-16.397926,-71.516006,2436.04,2484,350,-1,1.62,1
"2016-11-29","05:44:02",-16.39786,-71.515839,2438.86,0,74,-1,19.27,1
"2016-11-29","05:44:27",-16.397882,-71.515938,2381.04,540,51,-1,10.84,1
"2016-11-29","05:45:14",-16.397919,-71.515907,2393.22,504,75,-1,5.28,1
"2016-11-29","05:45:36",-16.39794,-71.515953,2431.71,2196,36,-1,5.43,1
"2016-11-29","05:47:59",-16.3979,-71.515945,2422.06,0,196,-1,4.53,1
"2016-11-29","05:48:09",-16.397955,-71.515984,2417.05,0,0,-1,7.4,1
"2016-11-29","05:51:14",-16.397739,-71.515617,2415.77,684,231,0,45.93,1
"2016-11-29","05:54:16",-16.397072,-71.516685,2427.31,0,286,0,135.94,1
"2016-11-29","05:57:17",-16.397007,-71.516357,2367.28,10512,49,0,35.73,1
"2016-11-29","05:57:51",-16.396549,-71.516167,2437.4,540,18,0,54.81,1
"2016-11-29","06:00:53",-16.39613,-71.515991,2430.31,0,311,0,50.23,1
"2016-11-29","06:03:59",-16.396093,-71.51609,2448.12,1224,102,0,11.33,1
"2016-11-29","06:05:45",-16.39607,-71.516052,2450.28,2520,236,-1,4.79,1
"2016-11-29","06:08:50",-16.396719,-71.516373,2423.41,1260,213,0,79.88,1
"2016-11-29","06:11:55",-16.396666,-71.516327,2425.93,1620,66,0,7.67,1
"2016-11-29","06:15:00",-16.396717,-71.516602,2425.52,864,186,0,29.88,1
"2016-11-29","06:17:34",-16.39661,-71.516647,2445.07,2340,198,-1,12.83,1
"2016-11-29","06:17:58",-16.396524,-71.516685,2428.86,0,155,-1,10.39,1
"2016-11-29","06:18:12",-16.396654,-71.516739,2416.98,2232,199,-1,15.56,1
"2016-11-29","06:20:14",-16.396574,-71.516502,2438.01,144,20,-1,26.8,1
"2016-11-29","06:20:27",-16.396704,-71.516602,2412.07,1404,235,-1,17.97,1
"2016-11-29","06:21:00",-16.396851,-71.516655,2372.27,828,183,-1,17.3,1
"2016-11-29","06:24:04",-16.39666,-71.516304,2422.83,1980,234,0,43.05,1
"2016-11-29","06:27:06",-16.396927,-71.516533,2443.87,0,253,0,38.45,1
"2016-11-29","06:30:10",-16.397776,-71.516571,2420.13,756,0,0,94.49,1
"2016-11-29","06:33:14",-16.3978,-71.516037,2400.3,1368,170,0,57.03,1
"2016-11-29","06:36:19",-16.397736,-71.5158,2419.03,7092,141,0,26.26,1
"2016-11-29","06:39:22",-16.39802,-71.515533,2417.63,1476,0,0,42.53,1
"2016-11-29","06:42:25",-16.397602,-71.516037,2405.06,8352,308,0,71.07,1
"2016-11-29","06:45:28",-16.397758,-71.516403,2359.69,0,126,0,42.72,1
"2016-11-29","06:48:31",-16.397652,-71.516632,2430.01,396,136,0,27.12,1
"2016-11-29","06:51:34",-16.397976,-71.515869,2408.5,0,263,0,89.01,1
"2016-11-29","06:54:36",-16.397844,-71.515457,2446.58,0,190,0,46.34,1
"2016-11-29","06:57:57",-16.398083,-71.515602,2412.36,2268,198,0,30.75,1
"2016-11-29","07:01:34",-16.397919,-71.51548,2426.6,900,257,0,22.4,1
"2016-11-29","07:05:01",-16.39797,-71.515427,2415.9,720,104,0,8.01,1
"2016-11-29","07:08:05",-16.397966,-71.51545,2420.22,0,89,0,2.49,1
"2016-11-29","07:11:09",-16.397985,-71.515442,2403.73,1116,38,0,2.28,1
"2016-11-29","07:14:12",-16.397957,-71.515495,2415.6,0,296,0,6.45,1
"2016-11-29","07:17:14",-16.397974,-71.51548,2417.85,1548,20,0,2.48,1
"2016-11-29","07:20:18",-16.397949,-71.515472,2420.3,468,247,0,2.91,1
"2016-11-29","07:23:21",-16.397913,-71.515518,2417.9,1260,56,0,6.33,1
"2016-11-29","07:26:25",-16.397964,-71.515312,2412.97,0,94,0,22.69,1
"2016-11-29","07:29:29",-16.397955,-71.515495,2419.25,576,312,0,19.55,1
"2016-11-29","07:32:34",-16.397964,-71.51548,2423.54,1044,162,0,1.89,1
"2016-11-29","07:35:39",-16.397991,-71.515549,2407.54,0,179,0,7.95,1
"2016-11-29","07:38:43",-16.397945,-71.515541,2413.49,0,71,0,5.19,1
"2016-11-29","07:41:47",-16.397961,-71.515495,2416.05,324,294,0,5.22,1
"2016-11-29","07:44:59",-16.39793,-71.515327,2416.56,1008,278,0,18.25,1
"2016-11-29","07:48:14",-16.398016,-71.515694,2418.18,684,314,0,40.3,1
"2016-11-29","07:59:36",-16.398016,-71.515694,2418.18,684,314,0,0,1
"2016-11-29","08:02:52",-16.397953,-71.51545,2425.23,576,96,0,26.95,1
"2016-11-29","08:06:05",-16.39794,-71.515465,2416.98,252,241,0,2.16,1
"2016-11-29","08:09:34",-16.397993,-71.515457,2424.04,0,122,0,5.95,1
"2016-11-29","08:12:52",-16.397961,-71.515472,2424.67,1764,127,0,3.9,1
"2016-11-29","08:15:57",-16.39798,-71.51545,2422.27,0,347,0,3.16,1
"2016-11-29","08:19:03",-16.398075,-71.515495,2439.31,1080,82,0,11.6,1
"2016-11-29","08:22:09",-16.397951,-71.515434,2436.39,2556,56,0,15.25,1
"2016-11-29","08:25:14",-16.398014,-71.515465,2439.32,1800,278,0,7.75,1
"2016-11-29","08:28:25",-16.397995,-71.515526,2434.32,0,356,0,6.84,1
"2016-11-29","08:31:29",-16.398731,-71.515739,2523.95,2916,30,0,84.93,1
"2016-11-29","08:34:44",-16.397821,-71.515396,2391.56,1908,56,0,107.6,1
"2016-11-29","08:37:51",-16.39801,-71.51548,2431.91,108,0,0,22.85,1
"2016-11-29","08:40:58",-16.397903,-71.515442,2422.66,0,181,0,12.57,1
"2016-11-29","08:44:03",-16.397943,-71.515465,2430.03,396,41,0,5.08,1
"2016-11-29","08:47:12",-16.397964,-71.515457,2418.04,0,184,0,2.49,1
"2016-11-29","08:50:18",-16.397913,-71.515488,2406.54,2700,41,0,6.56,1
"2016-11-29","08:53:22",-16.397923,-71.515404,2420.75,0,0,0,9.03,1
"2016-11-29","08:56:27",-16.398022,-71.515488,2407.88,0,0,0,14.19,1
"2016-11-29","08:59:33",-16.398321,-71.515472,2409.32,1872,0,0,33.29,1
"2016-11-29","09:02:41",-16.397959,-71.515434,2416.34,324,295,0,40.46,1
"2016-11-29","09:05:52",-16.397921,-71.515358,2404,684,99,0,9.14,1
"2016-11-29","09:08:59",-16.397953,-71.515472,2430,468,349,0,12.67,1
"2016-11-29","09:12:09",-16.397963,-71.515434,2397.02,972,341,0,4.2,1
"2016-11-29","09:15:15",-16.397953,-71.515472,2439.82,684,21,0,4.2,1
"2016-11-29","09:18:21",-16.397938,-71.515411,2416.62,1728,106,0,6.72,1
"2016-11-29","09:21:27",-16.397911,-71.515488,2384.68,0,0,0,8.75,1
"2016-11-29","09:24:33",-16.397945,-71.515472,2432.37,648,29,0,4.15,1
"2016-11-29","09:27:40",-16.397982,-71.515472,2427.54,0,7,0,4.11,1
"2016-11-29","09:30:45",-16.398067,-71.515472,2409.62,612,92,0,9.45,1
"2016-11-29","09:33:50",-16.397915,-71.515488,2450.33,0,167,0,16.99,1
"2016-11-29","09:36:57",-16.397856,-71.515549,2457.86,1620,312,0,9.24,1
"2016-11-29","09:40:01",-16.397926,-71.515694,2476.26,540,165,0,17.32,1
"2016-11-29","09:43:06",-16.397852,-71.51548,2420.32,684,25,0,24.27,1
"2016-11-29","09:46:33",-16.397673,-71.515656,2406.74,1116,270,0,27.36,1
"2016-11-29","09:51:59",-16.398046,-71.515709,2431.52,1908,162,0,41.86,1
"2016-11-29","10:09:19",-16.398447,-71.515381,2419.85,1692,174,-1,56.68,1
"2016-11-29","10:12:30",-16.398512,-71.515465,2423.5,4104,341,0,11.51,1
"2016-11-29","10:16:43",-16.398272,-71.515427,2434.43,648,281,-1,26.99,1
"2016-11-29","10:24:08",-16.39786,-71.515846,2557.34,2160,307,0,64,1
"2016-11-29","10:30:20",-16.397333,-71.516411,2690.95,468,281,-1,84.06,1
"2016-11-29","10:35:26",-16.398525,-71.515305,2374.23,1872,57,-1,177.45,1
"2016-11-29","10:43:13",-16.398701,-71.514969,2362.77,5616,178,0,40.84,1
"2016-11-29","10:49:08",-16.395569,-71.518143,2996.37,2484,275,0,485.72,1
"2016-11-29","10:55:05",-16.399792,-71.514587,2275.47,1260,187,0,603.65,1
"2016-11-29","11:01:18",-16.398794,-71.51519,2454.96,936,91,0,128.27,1
"2016-11-29","11:05:32",-16.398987,-71.514473,2424.72,2016,318,-1,79.44,1
"2016-11-29","11:11:28",-16.398956,-71.514832,2419.02,252,115,0,38.45,1
"2016-11-29","11:17:32",-16.399,-71.514618,2429.07,612,256,0,23.35,1
"2016-11-29","11:23:30",-16.399086,-71.514427,2407.16,2484,356,0,22.51,1
"2016-11-29","11:26:36",-16.399019,-71.514389,2404.13,72,180,0,8.48,1
"2016-11-29","11:29:57",-16.399015,-71.514366,2413.33,936,135,0,2.49,1
"2016-11-29","11:33:46",-16.399076,-71.514427,2407.14,144,319,0,9.4,1
"2016-11-29","11:36:33",-16.398928,-71.514725,2416.84,1620,347,-1,35.8,1
"2016-11-29","11:39:49",-16.399145,-71.514374,2375.41,900,127,0,44.54,1
"2016-11-29","11:43:03",-16.398996,-71.514595,2442.56,1404,104,0,28.81,1
"2016-11-29","11:46:21",-16.399038,-71.514465,2422.18,288,313,0,14.63,1
"2016-11-29","11:49:48",-16.398996,-71.514519,2414.35,396,102,0,7.42,1
"2016-11-29","11:53:32",-16.399,-71.51458,2402.65,1044,150,-1,6.52,1
"2016-11-29","11:58:16",-16.398947,-71.514771,2432.89,288,353,0,21.21,1
"2016-11-29","12:02:31",-16.398996,-71.514679,2416.93,1224,117,0,11.22,1
"2016-11-29","12:06:46",-16.398958,-71.514694,2434.31,4320,98,0,4.52,1
"2016-11-29","12:10:00",-16.39897,-71.514549,2446.9,360,135,0,15.52,1
"2016-11-29","12:13:07",-16.399019,-71.514587,2408.39,864,271,0,6.79,1
"2016-11-29","12:16:14",-16.39901,-71.514336,2449.72,4896,83,0,26.79,1
"2016-11-29","12:19:21",-16.398773,-71.515495,2428.82,6300,6,0,126.41,1
"2016-11-29","12:22:31",-16.398432,-71.515007,2451.57,1044,64,0,64.4,1
"2016-11-29","12:25:43",-16.398417,-71.515335,2493.66,540,49,0,35.03,1
"2016-11-29","12:28:58",-16.398401,-71.51503,2457.82,612,197,0,32.58,1
"2016-11-29","12:32:15",-16.398434,-71.515106,2424.22,360,260,0,8.9,1
"2016-11-29","12:35:30",-16.398357,-71.515091,2433.53,36,136,0,8.71,1
"2016-11-29","12:38:44",-16.398415,-71.515076,2434.65,1296,167,0,6.64,1
"2016-11-29","12:42:02",-16.39838,-71.514908,2437.74,2268,253,0,18.34,1
"2016-11-29","12:45:24",-16.398394,-71.514961,2434.22,360,75,0,5.86,1
"2016-11-29","12:48:57",-16.398474,-71.515198,2414.26,1152,86,0,26.8,1
"2016-11-29","12:53:16",-16.398197,-71.514915,2467.07,612,88,0,43.13,1
"2016-11-29","12:58:27",-16.398111,-71.515106,2504.35,1944,54,-4,22.51,1
"2016-11-29","13:41:24",-16.398357,-71.515083,2419.75,2340,131,-2,0,1
"2016-11-29","18:26:02",-16.398357,-71.515083,2419.75,2232,77,0,0,1
